"hole_id";"max_depth";"x";"y";"z";"hole_path";"year"
"201";42.50;238758.85;185215.33;91.50;"LINEAR";1977
"677_2";39.00;238919.26;185520.55;88.98;"LINEAR";1977
"877_3";48.00;238740.94;185498.74;89.83;"LINEAR";1977
"877_4";43.00;238657.28;185260.13;91.26;"LINEAR";1977
"977_6";45.00;238952.20;185395.71;91.26;"LINEAR";1977
"B11_90_1";30.00;239041.79;185456.66;69.50;"LINEAR";1990
"B11_90_2";32.00;238966.68;185479.96;71.80;"LINEAR";1990
"B11_90_3";32.00;238922.92;185494.88;73.50;"LINEAR";1990
"B11_90_4";25.00;239084.63;185430.12;65.40;"LINEAR";1990
"B34";43.50;238571.51;184716.51;91.50;"LINEAR";1984
"B35";37.10;238707.56;184328.62;91.60;"LINEAR";1984
"B83";46.50;238491.68;184541.87;91.50;"LINEAR";1976
"B85";40.00;238736.64;184548.59;90.50;"LINEAR";1976
"B86";40.00;238305.36;184471.04;85.00;"LINEAR";1976
"B92_1";31.00;238835.98;185006.43;76.72;"LINEAR";1992
"B92_2";29.00;238755.78;185105.20;76.07;"LINEAR";1992
"B92_3";30.00;238911.76;185025.48;65.68;"LINEAR";1992
"B92_4";25.00;238913.82;185162.28;76.70;"LINEAR";1992
"B94_6_B1";18.10;238947.87;185549.46;72.34;"LINEAR";1994
"BL92_1";29.00;238755.06;184932.83;75.97;"LINEAR";1992
"BRG_00_01";28.00;238685.48;185170.73;71.76;"LINEAR";2000
"BRG_00_02";27.00;238663.90;185120.96;72.08;"LINEAR";2000
"BRG_01_01";30.00;238653.56;184974.70;72.51;"LINEAR";2001
"BRG_01_02";28.00;238607.13;184883.86;74.46;"LINEAR";2001
"BRG_01_03";32.00;238549.17;184791.83;76.47;"LINEAR";2001
"BRG_01_04";33.00;238586.19;184702.83;77.46;"LINEAR";2001
"BRG_01_05";30.00;238562.73;184634.57;75.31;"LINEAR";2001
"BRG_01_06";30.00;238657.47;184679.09;74.61;"LINEAR";2001
"BRG_01_07";31.00;238631.04;184601.80;75.67;"LINEAR";2001
"BRG_01_08";21.00;238744.95;184650.74;66.39;"LINEAR";2001
"BRG_01_09";27.00;238708.94;184568.92;72.16;"LINEAR";2001
"BRG_05_01";36.00;238438.13;184618.68;72.94;"LINEAR";2005
"BRG_05_02";37.00;238496.01;184483.35;75.39;"LINEAR";2005
"BRG_05_03";35.00;238617.65;184485.03;71.52;"LINEAR";2005
"BRG_05_04";35.00;238684.61;184445.09;72.15;"LINEAR";2005
"BRG_05_05";47.00;238904.80;184876.24;78.92;"LINEAR";2005
"BRG_05_06";25.00;239670.83;185758.85;61.05;"LINEAR";2005
"BRG_05_07";25.00;239896.00;185648.00;60.00;"LINEAR";2005
"BRG_05_08";22.00;240133.00;185700.00;60.00;"LINEAR";2005
"BRG_05_09";62.00;238482.82;184897.01;92.01;"LINEAR";2005
"BRG_05_10";58.00;238383.62;185036.38;91.69;"LINEAR";2005
"BRG_05_11";62.00;238458.76;185206.48;91.99;"LINEAR";2005
"BRG_05_12";48.00;238646.98;185050.98;76.35;"LINEAR";2005
"BRG_05_13";47.00;238921.71;184736.59;78.20;"LINEAR";2005
"BRG_05_14";42.00;238355.00;184486.00;75.00;"LINEAR";2005
"BRG_05_15";38.00;238627.97;184423.94;74.14;"LINEAR";2005
"BRG_08_01";29.00;238498.80;185289.58;76.98;"LINEAR";2008
"BRG_11_01";15.00;239534.09;185634.98;54.35;"LINEAR";2011
"BRG_11_02";17.00;239600.00;185500.00;53.25;"LINEAR";2011
"BRG_11_03";14.00;239700.00;185600.00;51.90;"LINEAR";2011
"BRG_11_04";20.00;239631.13;185738.76;59.83;"LINEAR";2011
"BRG_11_05";20.00;239703.21;185727.98;60.40;"LINEAR";2011
"BRG_11_06";20.00;239867.77;185749.63;59.66;"LINEAR";2011
"BRG_11_07";20.00;239871.37;185613.18;60.42;"LINEAR";2011
"BRG_11_08";20.00;240029.13;185653.18;59.19;"LINEAR";2011
"BRG_13_01";28.00;238982.29;184829.25;66.47;"LINEAR";2013
"BRG_13_02";28.00;238817.77;184683.05;65.01;"LINEAR";2013
"BRG_16_01";50.00;238052.44;184548.12;89.67;"LINEAR";2016
"BRG_16_02";50.00;238127.60;184624.40;86.66;"LINEAR";2016
"BRG_16_03";50.00;238129.20;184799.10;91.52;"LINEAR";2016
"BRG_16_04A";30.00;238271.00;184720.20;91.78;"LINEAR";2016
"BRG_16_04B";30.00;238303.23;184613.03;73.29;"LINEAR";2016
"BRG_16_05";50.00;238186.50;184893.10;92.17;"LINEAR";2016
"BRG_16_06";18.00;238441.52;185151.02;65.91;"LINEAR";2016
"BRG_16_07";18.00;238442.88;185049.99;66.30;"LINEAR";2016
"BRG_16_08";18.00;238446.26;184952.10;65.60;"LINEAR";2016
"BRG_16_09";18.00;238420.78;184835.36;68.90;"LINEAR";2016
"BRG_93_1";42.00;238509.25;184984.41;91.12;"LINEAR";1993
"BRG_93_2";39.00;238375.78;184776.61;91.12;"LINEAR";1993
"BRG_93_3";25.00;238859.33;184540.38;85.39;"LINEAR";1993
"BRG_93_4";46.00;238963.03;184786.45;91.79;"LINEAR";1993
"BRG_93_4A";43.00;239029.83;184757.00;91.55;"LINEAR";1993
"BRG_93_6";45.00;238975.03;184622.69;90.97;"LINEAR";1993
"BRG_93_7";38.00;238851.83;184680.31;89.51;"LINEAR";1993
"BRG_93_8";43.00;238251.21;185098.23;91.00;"LINEAR";1993
"BRG_96_02";44.00;238844.09;185487.82;79.22;"LINEAR";1996
"BRG_96_03";35.00;238804.17;185357.91;79.91;"LINEAR";1996
"BRG_96_04";45.00;238651.31;185433.91;91.03;"LINEAR";1996
"BRG_96_05";45.00;238553.96;185228.23;92.46;"LINEAR";1996
"BRG_96_06";25.00;238884.51;185543.34;74.63;"LINEAR";1996
"BRG_96_BE04";45.00;238450.74;185362.97;92.06;"LINEAR";1996
"BRG_96_BE05";47.00;238364.26;185164.32;89.86;"LINEAR";1996
"BRG_97_01";37.00;238666.25;185355.96;81.81;"LINEAR";1997
"BRG_97_02";29.00;238751.27;185305.78;78.04;"LINEAR";1997
"BRG_97_03";29.00;238846.50;185272.11;74.96;"LINEAR";1997
"BRG_97_04";29.00;238804.57;185182.54;78.00;"LINEAR";1997
"BRG_97_05";25.00;238656.09;184745.95;71.30;"LINEAR";1997
"ECO_09_01";52.00;238312.31;183957.54;90.69;"LINEAR";2009
"ECO_09_02";35.00;238160.23;184143.97;88.09;"LINEAR";2009
"ECO_09_03";35.00;238319.98;184114.68;90.01;"LINEAR";2009
"ECO_09_04";35.00;238479.24;184089.71;88.10;"LINEAR";2009
"ECO_09_05";52.00;238192.09;184361.58;89.59;"LINEAR";2009
