hole_id;depth_from;depth_to;geol_code100
201;20;30;TZ
201;30;31;BC
201;31;42.5;IZ
677_2;16;27;TZ
677_2;27;30;BC
677_2;30;39;IZ
877_3;25;27;TZ
877_3;27;28;BC
877_3;28;38;IZ
877_4;18;31;TZ
877_4;31;33;BC
877_4;33;43;IZ
977_6;16;29;TZ
977_6;29;30;BC
977_6;30;45;IZ
B34;15;27.5;TZ
B34;27.5;29.5;BC
B34;29.5;43.5;IZ
B35;15;28.5;TZ
B35;28.5;29.1;BC
B35;29.1;37.1;IZ
B83;18;25;TZ
B83;25;25.5;BC
B83;25.5;46.5;IZ
B85;21;30;TZ
B85;30;33;BC
B85;33;40;IZ
B86;14;22;TZ
B86;22;23;BC
B86;23;40;IZ
B92_1;15;16;BC
B92_1;16;31;IZ
B92_2;3;16;TZ
B92_2;16;17;BC
B92_2;17;29;IZ
B92_3;0;6;TZ
B92_3;6;24;IZ
B92_3;24;30;GZ
B92_4;11;12;BC
B92_4;12;25;IZ
B94_6_B1;11.1;18.1;IZ
BL92_1;2;15;TZ
BL92_1;15;29;IZ
BRG_00_01;0;9;TZ
BRG_00_01;9;11;BC
BRG_00_01;11;19;IZ
BRG_00_02;0;8;TZ
BRG_00_02;8;11;BC
BRG_00_02;11;21;IZ
BRG_01_01;0;6;TZ
BRG_01_01;6;8;TZ
BRG_01_01;8;10;TZ
BRG_01_01;10;11;BC
BRG_01_01;11;15;IZ
BRG_01_01;15;17;IZ
BRG_01_01;17;19;IZ
BRG_01_01;19;20;IZ
BRG_01_01;20;21;IZ
BRG_01_01;21;23;IZ
BRG_01_01;23;28;GZ
BRG_01_01;28;30;GZ
BRG_01_02;0;4;TZ
BRG_01_02;4;6;TZ
BRG_01_02;6;7;TZ
BRG_01_02;7;9;TZ
BRG_01_02;9;11;TZ
BRG_01_02;11;12;BC
BRG_01_02;12;13;IZ
BRG_01_02;13;15;IZ
BRG_01_02;15;17;IZ
BRG_01_02;17;19;IZ
BRG_01_02;19;21;IZ
BRG_01_02;21;22;IZ
BRG_01_02;22;24;IZ
BRG_01_02;24;28;GZ
BRG_01_03;2;4;TZ
BRG_01_03;4;5;TZ
BRG_01_03;5;8;TZ
BRG_01_03;8;9;TZ
BRG_01_03;9;11;TZ
BRG_01_03;11;12;TZ
BRG_01_03;12;16;IZ
BRG_01_03;16;20;IZ
BRG_01_03;20;21;IZ
BRG_01_03;21;23;IZ
BRG_01_03;23;28;IZ
BRG_01_03;28;32;GZ
BRG_01_04;0;3;TZ
BRG_01_04;3;6;TZ
BRG_01_04;6;10;TZ
BRG_01_04;10;12;TZ
BRG_01_04;12;13;IZ
BRG_01_04;13;15;IZ
BRG_01_04;15;17;IZ
BRG_01_04;17;19;IZ
BRG_01_04;19;22;IZ
BRG_01_04;22;23;IZ
BRG_01_04;23;26;IZ
BRG_01_04;26;30;IZ
BRG_01_04;30;33;GZ
BRG_01_05;0;3;TZ
BRG_01_05;3;6;TZ
BRG_01_05;6;8;TZ
BRG_01_05;8;9;IZ
BRG_01_05;9;12;IZ
BRG_01_05;12;14;IZ
BRG_01_05;14;16;IZ
BRG_01_05;16;18;IZ
BRG_01_05;18;20;IZ
BRG_01_05;20;23;IZ
BRG_01_05;23;25;IZ
BRG_01_05;25;28;GZ
BRG_01_05;28;30;GZ
BRG_01_06;1;2;TZ
BRG_01_06;2;6;TZ
BRG_01_06;6;8;TZ
BRG_01_06;8;10;TZ
BRG_01_06;10;11;IZ
BRG_01_06;11;14;IZ
BRG_01_06;14;17;IZ
BRG_01_06;17;20;IZ
BRG_01_06;20;22;IZ
BRG_01_06;22;24;IZ
BRG_01_06;24;26;IZ
BRG_01_06;26;28;IZ
BRG_01_06;28;30;IZ
BRG_01_07;6;9;TZ
BRG_01_07;9;11;IZ
BRG_01_07;11;12;IZ
BRG_01_07;12;15;IZ
BRG_01_07;15;18;IZ
BRG_01_07;18;19;IZ
BRG_01_07;19;22;IZ
BRG_01_07;22;25;IZ
BRG_01_07;25;29;IZ
BRG_01_07;29;31;GZ
BRG_01_08;0;1;TZ
BRG_01_08;1;2;IZ
BRG_01_08;2;8;IZ
BRG_01_08;8;10;IZ
BRG_01_08;10;11;IZ
BRG_01_08;11;14;IZ
BRG_01_08;14;15;IZ
BRG_01_08;15;18;IZ
BRG_01_08;18;20;IZ
BRG_01_08;20;21;IZ
BRG_01_09;2;3;TZ
BRG_01_09;3;8;TZ
BRG_01_09;8;10;BC
BRG_01_09;10;15;IZ
BRG_01_09;15;16;IZ
BRG_01_09;16;18;IZ
BRG_01_09;18;21;IZ
BRG_01_09;21;23;IZ
BRG_01_09;23;24;IZ
BRG_01_09;24;27;IZ
BRG_05_01;0;6;TZ
BRG_05_01;6;25;IZ
BRG_05_01;25;36;GZ
BRG_05_02;2;9;TZ
BRG_05_02;9;31;IZ
BRG_05_02;31;37;GZ
BRG_05_03;2;8;TZ
BRG_05_03;8;13;BC
BRG_05_03;13;28;IZ
BRG_05_03;28;35;GZ
BRG_05_04;0;9;TZ
BRG_05_04;9;14;BC
BRG_05_04;14;27;IZ
BRG_05_04;27;35;GZ
BRG_05_05;5;14;TZ
BRG_05_05;14;34;IZ
BRG_05_05;34;42;GZ
BRG_05_06;0;12;IZ
