hole_id;samp_id;depth_from;depth_to;gravel;z_1000;z_125;z_180;z_250;z_355;z_500;z_0;z_63;z_710;z_90;afa;ags;al_wa;ca_wa;fe_wa;k_wa;mg_wa;na_wa;si_wa;ti_wa;clay;samp_id_clay;spec_surf;FinMod;code_geol
201;;-0.83;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
201;;0.00;10.48;;;;;;;;;;;;;;;;;;;;;;;;;;gz
201;;10.48;11.94;;;;;;;;;;;;;;;;;;;;;;;;;;gz
201;;11.94;19.50;;;;;;;;;;;;;;;;;;;;;;;;;;gz
201;;19.50;22.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
201;;22.00;29.55;;;;;;;;;;;;;;;;;;;;;;;;;;gz
201;;29.55;31.01;;;;;;;;;;;;;;;;;;;;;;;;;;gz
201;;31.01;42.33;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;-0.97;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;0.00;8.02;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;8.02;11.02;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;11.02;16.98;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;16.98;21.02;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;21.02;26.98;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;26.98;29.98;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;29.98;38.98;;;;;;;;;;;;;;;;;;;;;;;;;;gz
877_3;;0.00;24.83;;;;;;;;;;;;;;;;;;;;;;;;;;ovb
877_3;;24.83;27.52;;;;;;;;;;;;;;;;;;;;;;;;;;tz
877_3;;27.52;28.83;;;;;;;;;;;;;;;;;;;;;;;;;;bc
877_3;;28.83;38.57;;;;;;;;;;;;;;;;;;;;;;;;;;iz
877_3;;38.57;48.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
877_4;;-0.25;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
877_4;;0.00;9.74;;;;;;;;;;;;;;;;;;;;;;;;;;gz
877_4;;9.74;11.74;;;;;;;;;;;;;;;;;;;;;;;;;;gz
877_4;;11.74;17.67;;;;;;;;;;;;;;;;;;;;;;;;;;gz
877_4;;17.67;24.32;;;;;;;;;;;;;;;;;;;;;;;;;;gz
877_4;;24.32;30.26;;;;;;;;;;;;;;;;;;;;;;;;;;gz
877_4;;30.26;32.26;;;;;;;;;;;;;;;;;;;;;;;;;;gz
877_4;;32.26;42.26;;;;;;;;;;;;;;;;;;;;;;;;;;gz
977_6;;-0.25;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
977_6;;0.00;13.74;;;;;;;;;;;;;;;;;;;;;;;;;;gz
977_6;;13.74;14.74;;;;;;;;;;;;;;;;;;;;;;;;;;gz
977_6;;14.74;16.26;;;;;;;;;;;;;;;;;;;;;;;;;;gz
977_6;;16.26;27.74;;;;;;;;;;;;;;;;;;;;;;;;;;gz
977_6;;27.74;29.26;;;;;;;;;;;;;;;;;;;;;;;;;;gz
977_6;;29.26;30.26;;;;;;;;;;;;;;;;;;;;;;;;;;gz
977_6;;30.26;44.26;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B11_90_1;;0.00;7.50;;;;;;;;;;;;;;;;;;;;;;;;;;tz
B11_90_1;;7.50;8.75;;;;;;;;;;;;;;;;;;;;;;;;;;bc
B11_90_1;;8.75;19.05;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B11_90_1;;19.05;30.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B11_90_2;;0.00;9.80;;;;;;;;;;;;;;;;;;;;;;;;;;tz
B11_90_2;;9.80;9.98;;;;;;;;;;;;;;;;;;;;;;;;;;bc
B11_90_2;;9.98;11.61;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B11_90_2;;11.61;19.38;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B11_90_2;;19.38;21.01;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B11_90_2;;21.01;21.20;;;;;;;;;;;;;;;;;;;;;;;;;;bc
B11_90_3;;0.00;1.58;;;;;;;;;;;;;;;;;;;;;;;;;;ovb
B11_90_3;;1.58;11.76;;;;;;;;;;;;;;;;;;;;;;;;;;tz
B11_90_3;;11.76;13.59;;;;;;;;;;;;;;;;;;;;;;;;;;bc
B11_90_3;;13.59;22.50;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B11_90_3;;22.50;32.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B11_90_4;;0.00;3.77;;;;;;;;;;;;;;;;;;;;;;;;;;tz
B11_90_4;;3.77;4.40;;;;;;;;;;;;;;;;;;;;;;;;;;bc
B11_90_4;;4.40;15.51;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B11_90_4;;15.51;25.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B34;;0.00;14.00;;;;;;;;;;;;;;;;;;;;;;;;;;ovb
B34;;14.00;15.05;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B34;;15.05;15.90;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B34;;15.90;26.59;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B34;;26.59;27.44;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B34;;27.44;28.50;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B35;;0.00;6.50;;;;;;;;;;;;;;;;;;;;;;;;;;ovb
B35;;6.50;7.50;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B35;;7.50;15.60;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B35;;15.60;20.50;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B35;;20.50;28.60;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B35;;28.60;29.60;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B83;;-0.82;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B83;;0.00;18.50;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B83;;18.50;19.97;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B83;;19.97;20.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B83;;20.00;25.50;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B83;;25.50;25.52;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B83;;25.52;27.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B83;;27.00;46.32;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B85;;0.00;6.49;;;;;;;;;;;;;;;;;;;;;;;;;;ovb
B85;;6.49;9.50;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B85;;9.50;18.50;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B85;;18.50;20.50;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B85;;20.50;29.50;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B85;;29.50;32.50;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B86;;0.00;14.05;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B86;;14.05;17.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B86;;17.00;18.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B86;;18.00;21.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B86;;21.00;22.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B86;;22.00;24.94;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B86;;24.94;39.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_1;;-0.97;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_1;;0.00;3.58;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_1;;3.58;14.28;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_1;;14.28;14.63;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_1;;14.63;15.36;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_1;;15.36;15.72;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_1;;15.72;26.41;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_1;;26.41;30.97;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_2;;-0.07;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_2;;0.00;2.83;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_2;;2.83;11.93;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_2;;11.93;12.93;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_2;;12.93;15.07;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_2;;15.07;16.07;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_2;;16.07;25.16;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_2;;25.16;28.07;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_3;;0.00;5.31;;;;;;;;;;;;;;;;;;;;;;;;;;tz
B92_3;;5.31;5.68;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_3;;5.68;23.32;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_3;;23.32;23.68;;;;;;;;;;;;;;;;;;;;;;;;;;gz
B92_4;;0.00;2.90;;;;;;;;;;;;;;;;;;;;;;;;;;ovb
B92_4;;2.90;11.30;;;;;;;;;;;;;;;;;;;;;;;;;;tz
B92_4;;11.30;11.70;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B92_4;;11.70;11.70;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B92_4;;12.30;12.70;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B92_4;;12.70;21.09;;;;;;;;;;;;;;;;;;;;;;;;;;tz
B94_6_B1;;0.00;0.49;;;;;;;;;;;;;;;;;;;;;;;;;;ovb
B94_6_B1;;0.49;5.76;;;;;;;;;;;;;;;;;;;;;;;;;;tz
B94_6_B1;;5.76;7.32;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B94_6_B1;;7.32;9.77;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B94_6_B1;;9.77;11.34;;;;;;;;;;;;;;;;;;;;;;;;;;iz
B94_6_B1;;11.34;16.60;;;;;;;;;;;;;;;;;;;;;;;;;;tz
BL92_1;;-0.96;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;gz
