hole_id;samp_id;depth_from;depth_to;;gravel;z_1000;z_125;z_180;z_250;z_355;z_500;z_0;z_63;z_710;z_90;afa;ags;al_wa;ca_wa;fe_wa;k_wa;mg_wa;na_wa;si_wa;ti_wa;clay;samp_id_clay;spec_surf;FinMod;code_geol
201;;-0.83;0;;;;;;;;;;;;;;;;;;;;;;;;;;;gz
201;;0;10.48;0;;;;;;;;;;;;;;;;;;;;;;;;;;gz
201;;10.48;11.94;0;;;;;;;;;;;;;;;;;;;;;;;;;;gz
201;;11.94;19.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;gz
201;;19.5;22;0;;;;;;;;;;;;;;;;;;;;;;;;;;gz
201;;22;29.55;0;;;;;;;;;;;;;;;;;;;;;;;;;;gz
201;;29.55;31.01;0;;;;;;;;;;;;;;;;;;;;;;;;;;gz
201;;31.01;42.33;0;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;-0.97;0;;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;0;8.02;0;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;8.02;11.02;0;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;11.02;16.98;0;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;16.98;21.02;0;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;21.02;26.98;0;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;26.98;29.98;0;;;;;;;;;;;;;;;;;;;;;;;;;;gz
677_2;;29.98;38.98;0;;;;;;;;;;;;;;;;;;;;;;;;;;gz
877_3;;0;24.83;;;;;;;;;;;;;;;;;;;;;;;;;;;ovb
877_3;;24.83;27.52;0;;;;;;;;;;;;;;;;;;;;;;;;;;tz
877_3;;27.52;28.83;0;;;;;;;;;;;;;;;;;;;;;;;;;;bc
877_3;;28.83;38.57;0;;;;;;;;;;;;;;;;;;;;;;;;;;iz
877_3;;38.57;48;0;;;;;;;;;;;;;;;;;;;;;;;;;;gz
877_4;;-0.25;0;;;;;;;;;;;;;;;;;;;;;;;;;;;gz
