"hole_id";"hole_path";"max_depth";"x";"y";"z";"depth_water_table";"date";"drilling_company";"Project";"comment"
"LBU_01_1";;45.00;237161.74;186909.76;64.95;;1/1/2001 0:00:00;;;"Z=52 ?  64.95 ?"
"LBU_01_2";;35.00;237097.83;187367.49;65.50;;1/1/2001 0:00:00;;;"Z=65.5 ?"
"LBU_01_3";;35.00;236918.58;187646.14;65.17;;1/1/2001 0:00:00;;;" Z non consistent with geology Z=65.17 ?"
"LBU_02_1";;41.00;236042.26;187086.93;89.46;;1/7/2002 0:00:00;"GEOTRON";"PROJ-002449";
"LBU_02_2";;41.00;235949.46;186619.86;87.94;;1/7/2002 0:00:00;"GEOTRON";"PROJ-002449";
"LBU_02_3";;41.00;236494.42;186794.28;86.53;;1/7/2002 0:00:00;"GEOTRON";"PROJ-002449";
"LBU_02_4";;41.00;236428.80;186453.25;86.87;;1/7/2002 0:00:00;"GEOTRON";"PROJ-002449";
"LBU_03_01";;32.00;237597.68;188394.13;76.82;;22/5/2003 0:00:00;"GEOTRON";"PROJ-002869";"Stalen verloren tot 12m, nieuwe boring LBU 03/1B tot 12m"
"LBU_03_02";;31.00;237767.15;188313.56;76.60;;26/5/2003 0:00:00;"GEOTRON";"PROJ-003303";
"LBU_05_01";;64.00;236324.97;187048.59;79.09;6.00;1/6/2005 0:00:00;"GEOTRON";"PROJ-002869";
"LBU_05_02";;50.00;236311.53;187257.45;78.03;5.00;7/6/2005 0:00:00;"GEOTRON";"PROJ-003828";
"LBU_05_03";;50.00;236349.85;187475.26;75.91;2.50;9/6/2005 0:00:00;"GEOTRON";"PROJ-003828";
"LBU_05_04";;50.00;236349.43;187714.10;75.85;5.00;13/6/2005 0:00:00;"GEOTRON";"PROJ-003828";
"LBU_05_05";;50.00;236364.93;187940.19;75.38;3.50;15/6/2005 0:00:00;"GEOTRON";"PROJ-003828";
"LBU_05_06";;50.00;236422.93;187176.29;78.31;5.00;17/6/2005 0:00:00;"GEOTRON";"PROJ-003828";
"LBU_05_07";;50.00;236539.70;187057.46;78.15;6.50;21/6/2005 0:00:00;"GEOTRON";"PROJ-003828";
"LBU_05_08";;50.00;236535.65;187315.58;77.00;4.50;23/6/2005 0:00:00;"GEOTRON";"PROJ-003828";
"LBU_05_09";;50.00;236535.67;187522.82;76.12;3.75;28/6/2005 0:00:00;"GEOTRON";"PROJ-003828";
"LBU_05_10";;53.00;236537.83;187708.78;76.76;3.50;7/7/2005 0:00:00;"GEOTRON";"PROJ-003828";
"LBU_05_11";;50.00;236549.07;188018.73;76.61;3.50;12/7/2005 0:00:00;"GEOTRON";"PROJ-003828";
"LBU_05_12";;50.00;236614.99;186915.71;77.42;4.75;5/9/2005 0:00:00;"GEOTRON";"PROJ-003828";
"LBU_05_13";;50.00;236640.75;187412.42;76.49;5.00;7/9/2005 0:00:00;"GEOTRON";"PROJ-003828";
