hole_id;depth_from;depth_to;samp_id;z_1000;z_710;z_500;z_355;z_250;z_180;z_125;z_90;z_63;z_0;afa;ags;theor_spec_surface;fineness_modulus;clay;code_geol;Comment
LBU_01_1;18;19;;0;0.1;0.9;3.2;9.6;13.7;36.4;27.1;8.1;0.7;91;170;;;;;Analyse na Wassing
LBU_01_1;19;20;;0.6;0.4;2.4;6.5;14.8;17.7;19.6;31.1;6.4;0.6;85;204;;;;;Analyse na Wassing
LBU_01_1;20;21;;0.1;0.3;1.9;5.9;14.1;19.6;18.7;32.3;6.6;0.4;86;194;;;;;Analyse na Wassing
LBU_01_1;21;22;;0.1;0.1;0.7;3.5;12.5;22.8;18.5;32.8;8.2;0.9;91;178;;;;;Analyse na Wassing
LBU_01_1;22;23;;0;0.1;0.7;4.6;17.3;36.6;15.3;18.4;6.4;0.6;78;204;;;;;Analyse na Wassing
LBU_01_1;23;24;;0;0;0.6;8.2;29.1;31.4;14.2;10.4;5.9;0.2;69;232;;;;;Analyse na Wassing
LBU_01_1;24;25;;0;0.1;0.5;6.7;37.3;36.7;9;6.7;2.7;0.3;62;247;;;;;Analyse na Wassing
LBU_01_1;25;26;;0.1;0;0.4;5.4;31.7;41.8;14.6;3.6;2.2;0.2;62;240;;;;;Analyse na Wassing
LBU_01_1;26;27;;0;0;0.3;3.7;27;48;15.8;3.4;1.5;0.2;63;231;;;;;Analyse na Wassing
LBU_01_1;27;28;;0;0.1;0.2;2.5;21;60.9;11.4;2.5;1.2;0.2;63;228;;;;;Analyse na Wassing
LBU_01_1;28;29;;0;0;0.1;1.7;17.6;59.7;18.2;1.6;1.1;0.1;64;220;;;;;Analyse na Wassing
LBU_01_1;29;30;;0;0;0.1;1.5;20.5;56.5;18.9;1.5;0.7;0.2;64;222;;;;;Analyse na Wassing
LBU_01_1;30;31;;0;0;0.1;2.6;25.8;60.8;9.3;0.9;0.4;0.1;60;236;;;;;Analyse na Wassing
LBU_01_1;31;32;;0;0;0.1;2.7;28.3;56.4;11.3;0.6;0.5;0.1;59;237;;;;;Analyse na Wassing
LBU_01_1;32;33;;0.5;0;0.3;5;31.4;50.5;10.8;0.8;0.4;0.2;58;250;;;;;Analyse na Wassing
