"code";"field_name";"from_value";"graphics_colour";"graphics_pattern";"line_colour";"line_style";"line_weight";"marker_size";"marker_style";"plotting_colour";"plotting_pattern";"style_type";"table_name";"to_value"
"clay";"litho";"";"r=0.8 g=0.0 b=0.4";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.8 g=0.0 b=0.4";"solid";"C";"geology";""
"gravel";"litho";"";"r=0.4 g=0.4 b=0.4";"##";"periwinkle";"|--->";1;0.50;"/.\";"r=0.4 g=0.4 b=0.4";"stones1";"C";"geology";""
"lignite";"litho";"";"r=0.2 g=0.2 b=0.2";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.2 g=0.2 b=0.2";"solid";"C";"geology";""
"loam";"litho";"";"r=0.4 g=0.2 b=0.0";"::";"periwinkle";"|--->";1;0.50;"/.\";"r=0.4 g=0.2 b=0.0";"dots";"C";"geology";""
"sand";"litho";"";"r=1.0 g=1.0 b=0.8";"::";"periwinkle";"|--->";1;0.50;"/.\";"r=1.0 g=1.0 b=0.8";"sandst-1";"C";"geology";""
"beige";"color_simple";"";"r=0.96 g=0.949 b=0.764";"solid";"periwinkle";"|--->";1;0.50;"/.\";"96 g=0.949 b=0.764";"solid";"C";"geology";""
"beige brown";"color_simple";"";"r=0.709 g=0.678 b=0.403";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.709 g=0.678 b=0.403";"solid";"C";"geology";""
"black";"color_simple";"";"r=0.2 g=0.2 b=0.2";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.2 g=0.2 b=0.2";"solid";"C";"geology";""
"black brown";"color_simple";"";"r=0.2 g=0.0 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.2 g=0.0 b=0.0";"solid";"C";"geology";""
"black gray ";"color_simple";"";"r=0.4 g=0.4 b=0.4";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.4 g=0.4 b=0.4";"solid";"C";"geology";""
"brown";"color_simple";"";"r=0.4 g=0.2 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.4 g=0.2 b=0.0";"solid";"C";"geology";""
"dark brown";"color_simple";"";"r=0.2 g=0.0 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.2 g=0.0 b=0.0";"solid";"C";"geology";""
