"hole_id";"depth_from";"depth_to";"samp_id";"fe_w";"al_w";"ti_w";"k_w";"ca_w";"mg_w";"na_w";"si_w";"wit_w";"wit_ind_w";"comment"
"LBU_81_1";14.50;16.00;;0.28;0.38;0.23;;;;;;;33.00;
"LBU_81_1";16.00;19.00;;0.07;0.19;0.04;;;;;;;38.00;
"LBU_81_1";19.00;23.00;;0.08;0.27;0.20;;;;;;;39.60;
"LBU_81_1";23.00;26.00;;0.03;0.23;0.07;;;;;;;43.50;
"LBU_81_1";26.00;28.00;;0.01;0.06;0.02;;;;;;;35.00;
"LBU_81_1";28.00;30.00;;0.01;0.06;0.03;;;;;;;34.00;
"LBU_81_1";30.00;33.00;;0.02;0.08;0.02;;;;;;;30.50;
"LBU_81_1";33.00;36.00;;0.01;0.07;0.02;;;;;;;35.00;
"LBU_81_1";36.00;38.00;;0.01;0.07;0.02;;;;;;;36.00;
"LBU_81_1";38.00;40.00;;0.01;0.08;0.02;;;;;;;27.00;
"LBU_81_1";40.00;41.00;;0.01;0.14;0.02;;;;;;;21.00;
"LBU_81_1";41.00;43.00;;0.01;0.19;0.02;;;;;;;30.00;
"LBU_81_1";43.00;49.00;;0.07;0.19;0.02;;;;;;;28.00;
"LBU_81_1";49.00;50.00;;0.08;0.35;0.04;;;;;;;29.00;
"LBU_81_2";23.00;25.00;;0.06;0.29;0.14;0.08;9.0e-03;;;;;44.60;
"LBU_81_2";25.00;27.00;;0.02;0.07;0.02;0.01;6.0e-03;;;;;42.10;
"LBU_81_2";27.00;34.00;;0.01;0.03;0.02;8.0e-03;5.0e-03;;;;;45.80;
"LBU_81_2";34.00;39.00;;0.01;0.08;0.02;0.01;8.0e-03;;;;;36.10;
"LBU_81_2";39.00;44.00;;0.03;0.36;0.04;0.16;0.01;;;;;41.40;
"LBU_81_3";19.00;21.00;;0.06;0.31;0.06;0.11;9.0e-03;;;;;41.80;
"LBU_81_3";24.00;27.00;;0.04;0.19;0.07;0.06;8.0e-03;;;;;45.20;
"LBU_81_3";27.00;32.00;;0.01;0.07;0.02;0.01;7.0e-03;;;;;31.50;
"LBU_81_3";41.00;46.00;;0.02;0.07;0.03;0.01;6.0e-03;;;;;40.80;
"LBU_81_4";17.00;20.00;;0.03;0.33;0.02;0.03;8.0e-03;;;;;41.20;
"LBU_81_4";27.00;29.00;;0.03;0.24;0.05;0.08;8.0e-03;;;;;45.90;
"LBU_81_4";29.00;32.00;;0.02;0.08;0.02;0.02;6.0e-03;;;;;36.10;
"LBU_81_4";40.00;44.00;;0.02;0.25;0.02;0.09;9.0e-03;;;;;37.20;
"LBU_81_4";44.00;47.00;;0.03;0.21;0.02;0.06;8.0e-03;;;;;32.20;
"LBU_81_5";15.00;21.00;;0.10;0.26;0.08;0.08;9.0e-03;;;;;38.60;
"LBU_81_5";23.00;26.00;;0.03;0.10;0.03;0.02;8.0e-03;;;;;42.20;
"LBU_81_5";36.00;40.00;;0.02;0.12;0.02;0.02;0.01;;;;;15.50;
"LBU_81_5";40.00;45.00;;0.03;0.15;0.02;0.03;0.01;;;;;16.80;
"LBU_81_6";17.00;27.00;;0.07;0.26;0.06;0.09;0.01;;;;;41.30;
"LBU_81_6";27.00;28.00;;0.01;0.06;0.02;0.01;6.0e-03;;;;;32.60;
"LBU_81_6";35.00;37.00;;0.01;0.17;0.02;0.04;0.01;;;;;31.90;
"LBU_81_6";37.00;42.00;;0.03;0.20;0.02;0.06;9.0e-03;;;;;25.90;
"LBU_81_6";42.00;46.00;;0.02;0.25;0.02;0.12;9.0e-03;;;;;28.40;
"LBU_86_4";0.00;2.00;;0.05;0.50;0.10;;;;;;;30.00;
"LBU_86_4";2.00;4.00;;0.03;0.34;0.08;;;;;;;32.00;
"LBU_86_4";4.00;10.00;;0.02;0.11;0.04;;;;;;;36.70;
"LBU_86_4";10.00;15.00;;0.03;0.17;0.05;;;;;;;38.00;
"LBU_86_4";15.00;18.00;;0.01;0.05;0.02;;;;;;;36.00;
"LBU_86_4";18.00;20.00;;9.0e-03;0.04;0.02;;;;;;;37.00;
"LBU_86_4";20.00;22.00;;0.01;0.05;0.02;;;;;;;36.70;
"LBU_86_4";22.00;24.00;;0.01;0.11;0.03;;;;;;;33.00;
"LBU_86_4";24.00;28.00;;0.02;0.16;0.03;;;;;;;31.90;
"LBU_86_4";28.00;30.00;;0.02;0.18;0.03;;;;;;;29.00;
"LBU_86_4";30.00;36.00;;0.06;0.25;0.03;;;;;;;27.00;
"LBU_86_4";36.00;48.00;;0.05;0.44;0.06;;;;;;;27.00;
"LBU_86_4";60.00;64.00;;0.05;0.57;0.07;;;;;;;26.00;
"LBU_86_5";23.00;24.00;;0.03;0.20;0.09;;;;;;;40.70;
"LBU_86_5";24.00;26.00;;0.04;0.30;0.09;;;;;;;42.00;
"LBU_86_5";26.00;27.00;;0.04;0.28;0.07;;;;;;;41.50;
"LBU_86_5";27.00;28.00;;0.02;0.14;0.06;;;;;;;40.00;
"LBU_86_5";28.00;29.00;;0.01;0.09;0.04;;;;;;;40.10;
"LBU_86_5";29.00;30.00;;0.01;0.08;0.03;;;;;;;39.90;
"LBU_86_5";30.00;31.00;;0.01;0.03;0.02;;;;;;;39.00;
"LBU_86_5";31.00;33.00;;0.01;0.07;0.03;;;;;;;38.50;
"LBU_86_5";33.00;34.00;;0.01;0.08;0.03;;;;;;;37.00;
"LBU_86_5";34.00;35.00;;0.01;0.07;0.03;;;;;;;32.30;
