hole_id;Latitude;Longitude;Altitude
201;50 58 15.38001;5 37 52.15265;91.5
677_2;50 58 25.16711;5 38 00.63934;88.98
877_3;50 58 24.55998;5 37 51.48239;89.83
877_4;50 58 16.88543;5 37 46.98687;91.26
977_6;50 58 21.10968;5 38 02.21827;91.26
B11_90_1;50 58 23.03250;5 38 06.86298;69.5
B11_90_2;50 58 23.82763;5 38 03.03396;71.8
B11_90_3;50 58 24.33475;5 38 00.80473;73.5
B11_90_4;50 58 22.14991;5 38 09.03516;65.4
B34;50 57 59.34350;5 37 42.11857;91.5
B35;50 57 46.71831;5 37 48.75157;91.6
B83;50 57 53.73678;5 37 37.87635;91.5
B85;50 57 53.81955;5 37 50.43323;90.5
B86;50 57 51.54721;5 37 28.26841;85
B92_1;50 58 08.57846;5 37 55.92272;76.72
B92_2;50 58 11.81839;5 37 51.89928;76.07
B92_3;50 58 09.15305;5 37 59.82244;65.68
B92_4;50 58 13.57813;5 38 00.04752;76.7
B94_6_B1;50 58 26.08671;5 38 02.13077;72.34
BL92_1;50 58 06.24168;5 37 51.71207;75.97
BRG_00_01;50 58 13.97734;5 37 48.35404;71.76
BRG_00_02;50 58 12.37888;5 37 47.20485;72.08
BRG_01_01;50 58 07.65226;5 37 46.54759;72.51
BRG_01_02;50 58 04.73862;5 37 44.08938;74.46
BRG_01_03;50 58 01.79279;5 37 41.03942;76.47
BRG_01_04;50 57 58.89281;5 37 42.85884;77.46
BRG_01_05;50 57 56.69712;5 37 41.59739;75.31
BRG_01_06;50 57 58.08550;5 37 46.49045;74.61
BRG_01_07;50 57 55.59928;5 37 45.06893;75.67
BRG_01_08;50 57 57.12009;5 37 50.94807;66.39
BRG_01_09;50 57 54.49258;5 37 49.03168;72.16
BRG_05_01;50 57 56.25168;5 37 35.19960;72.945
BRG_05_02;50 57 51.84110;5 37 38.04780;75.395
BRG_05_03;50 57 51.82880;5 37 44.28150;71.528
BRG_05_04;50 57 50.49950;5 37 47.67749;72.157
BRG_05_05;50 58 04.32816;5 37 59.33543;78.92
BRG_05_06;50 58 32.46096;5 38 39.36461;61.05
BRG_05_07;50 58 28.74894;5 38 50.80632;60
BRG_05_08;50 58 30.29904;5 39 02.99803;60
BRG_05_09;50 58 05.23238;5 37 37.73111;92.01
BRG_05_10;50 58 09.79619;5 37 32.76908;91.69
BRG_05_11;50 58 15.25864;5 37 36.76725;91.99
BRG_05_12;50 58 10.12395;5 37 46.27687;76.35
BRG_05_13;50 57 59.80039;5 38 00.07990;78.2
BRG_05_14;50 57 52.00405;5 37 30.82477;75
BRG_05_15;50 57 49.84622;5 37 44.75677;74.14
BRG_08_01;50 58 17.92540;5 37 38.89131;76.98
BRG_11_01;50 58 28.52914;5 38 32.24787;54.35
BRG_11_02;50 58 24.12519;5 38 35.50673;53.25
BRG_11_03;50 58 27.30509;5 38 40.71950;51.9
BRG_11_04;50 58 31.83303;5 38 37.31235;59.83
BRG_11_05;50 58 31.44414;5 38 40.99683;60.4
BRG_11_06;50 58 32.05295;5 38 49.44937;59.66
BRG_11_07;50 58 27.63606;5 38 49.51334;60.42
BRG_11_08;50 58 28.84222;5 38 57.63348;59.19
BRG_13_01;50 58 02.76502;5 38 03.26496;66.47
BRG_13_02;50 57 58.12538;5 37 54.70742;65.01
BRG_16_01;50 57 54.17969;5 37 15.37671;89.675
BRG_16_02;50 57 56.60654;5 37 19.29338;86.669
BRG_16_03;50 58 02.25818;5 37 19.52663;91.523
BRG_16_04A;50 57 59.62774;5 37 26.72399;91.781
BRG_16_04B;50 57 56.14274;5 37 28.28250;73.299
BRG_16_05;50 58 05.26827;5 37 22.54411;92.171
BRG_16_06;50 58 13.47367;5 37 35.83561;65.91
BRG_16_07;50 58 10.20405;5 37 35.81750;66.3
BRG_16_08;50 58 07.03491;5 37 35.90563;65.6
BRG_16_09;50 58 03.27171;5 37 34.49859;68.9
BRG_93_1;50 58 08.04574;5 37 39.16141;91.12
BRG_93_2;50 58 01.39550;5 37 32.14178;91.12
BRG_93_3;50 57 53.48632;5 37 56.71234;85.39
BRG_93_4;50 58 01.39083;5 38 02.24067;91.79
BRG_93_4A;50 58 00.40108;5 38 05.63770;91.55
BRG_93_6;50 57 56.08568;5 38 02.71239;90.97
BRG_93_7;50 57 58.01796;5 37 56.45020;89.51
BRG_93_8;50 58 11.86994;5 37 26.03776;91
BRG_96_02;50 58 24.14957;5 37 56.75855;79.22
BRG_96_03;50 58 19.96828;5 37 54.59943;79.91
BRG_96_04;50 58 22.51145;5 37 46.83233;91.03
BRG_96_05;50 58 15.91010;5 37 41.66457;92.46
BRG_96_06;50 58 25.92366;5 37 58.87843;74.63
BRG_96_BE04;50 58 20.32635;5 37 36.49229;92.06
BRG_96_BE05;50 58 13.94637;5 37 31.88812;89.86
BRG_97_01;50 58 19.98112;5 37 47.53002;81.81
BRG_97_02;50 58 18.31073;5 37 51.84311;78.04
BRG_97_03;50 58 17.16886;5 37 56.69372;74.96
BRG_97_04;50 58 14.29389;5 37 54.46689;78
BRG_97_05;50 58 00.24955;5 37 46.47798;71.3
ECO_09_01;50 57 34.92881;5 37 28.17906;90.69
ECO_09_02;50 57 41.04411;5 37 20.54921;88.09
ECO_09_03;50 57 40.00897;5 37 28.70832;90.01
ECO_09_04;50 57 39.11372;5 37 36.84597;88.1
ECO_09_05;50 57 48.06758;5 37 22.37002;89.59
