"x","y","z","max_depth","hole_path","year","hole_id"
238758.85,185215.33,91.5,42.5,"LINEAR",1977,"201"
238919.26,185520.55,88.98,39,"LINEAR",1977,"677_2"
238740.947,185498.748,89.83,48,"LINEAR",1977,"877_3"
238657.28,185260.13,91.26,43,"LINEAR",1977,"877_4"
238952.2,185395.71,91.26,45,"LINEAR",1977,"977_6"
239041.796,185456.667,69.5,30,"LINEAR",1990,"B11_90_1"
238966.68,185479.96,71.8,32,"LINEAR",1990,"B11_90_2"
238922.925,185494.887,73.5,32,"LINEAR",1990,"B11_90_3"
239084.637,185430.121,65.4,25,"LINEAR",1990,"B11_90_4"
238571.51,184716.51,91.5,43.5,"LINEAR",1984,"B34"
238707.56,184328.62,91.6,37.1,"LINEAR",1984,"B35"
238491.68,184541.87,91.5,46.5,"LINEAR",1976,"B83"
238736.64,184548.59,90.5,40,"LINEAR",1976,"B85"
238305.36,184471.04,85,40,"LINEAR",1976,"B86"
238835.98,185006.43,76.72,31,"LINEAR",1992,"B92_1"
238755.78,185105.2,76.07,29,"LINEAR",1992,"B92_2"
238911.76,185025.48,65.68,30,"LINEAR",1992,"B92_3"
238913.82,185162.28,76.7,25,"LINEAR",1992,"B92_4"
238947.87,185549.46,72.34,18.1,"LINEAR",1994,"B94_6_B1"
238755.06,184932.83,75.97,29,"LINEAR",1992,"BL92_1"
238685.48,185170.73,71.76,28,"LINEAR",2000,"BRG_00_01"
238663.9,185120.96,72.08,27,"LINEAR",2000,"BRG_00_02"
238653.56,184974.7,72.51,30,"LINEAR",2001,"BRG_01_01"
238607.13,184883.86,74.46,28,"LINEAR",2001,"BRG_01_02"
238549.17,184791.83,76.47,32,"LINEAR",2001,"BRG_01_03"
238586.19,184702.83,77.46,33,"LINEAR",2001,"BRG_01_04"
238562.73,184634.57,75.31,30,"LINEAR",2001,"BRG_01_05"
238657.47,184679.09,74.61,30,"LINEAR",2001,"BRG_01_06"
238631.04,184601.8,75.67,31,"LINEAR",2001,"BRG_01_07"
238744.95,184650.74,66.39,21,"LINEAR",2001,"BRG_01_08"
238708.94,184568.92,72.16,27,"LINEAR",2001,"BRG_01_09"
238438.135,184618.6888,72.9452,36,"LINEAR",2005,"BRG_05_01"
238496.0191,184483.3546,75.3954,37,"LINEAR",2005,"BRG_05_02"
238617.6558,184485.0397,71.5283,35,"LINEAR",2005,"BRG_05_03"
238684.6156,184445.0937,72.1568,35,"LINEAR",2005,"BRG_05_04"
